city_id,year,cr
tpe,2014,1626.457315
tpe,2015,1560.627179
tpe,2016,1582.44377
tpe,2017,1530.639816
tpe,2018,1585.342273
tpe,2019,1515.96894
tpe,2020,1488.846142
tpe,2021,1365.872905
tpe,2022,1459.679822
tpe,2023,1530.045551
tpe,2024,1937.074973
